Year,Municipality,Crop,Variety,Farms,Acres,Yield/Acre,t,i,Latitude,Longitude
1996,ARGYLE,RED SPRING WHEAT,CDC TEAL (BW 616),43,12217.0,0.962,1,3,,
1996,ARGYLE,RED SPRING WHEAT,COLUMBUS,12,2766.0,0.917,1,3,,
1996,ARGYLE,RED SPRING WHEAT,KATEPWA,12,2719.0,0.976,1,3,,
1996,ARGYLE,RED SPRING WHEAT,PASQUA (BW 114),26,4937.0,0.793,1,3,,
1996,ARGYLE,RED SPRING WHEAT,ROBLIN,13,1860.0,0.708,1,3,,
1996,ARMSTRONG,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),6,603.0,1.402,1,4,50.6,-97.55
1996,ARMSTRONG,OATS,ROBERT,11,924.0,0.903,1,4,50.6,-97.55
1996,ARMSTRONG,RED SPRING WHEAT,ROBLIN,7,525.0,0.938,1,4,50.6,-97.55
1996,BIFROST-RIVERTON,ALFALFA,ALGONQUIN,11,736.0,2.62,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ALFALFA,COMMON (DELETED),24,2286.0,2.409,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALF & TIM),10,601.0,1.769,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),20,2655.0,1.894,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),15,847.0,1.414,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,AC ELECT (ACS-N8),8,820.0,0.806,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,QUANTUM (91-21864 NA),28,3561.0,0.832,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",32,4422.0,0.919,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,ARGENTINE CANOLA,45A71 (NS1471)(ST),11,1111.0,0.806,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,AC LACOMBE (BT 634),20,2281.0,1.698,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,BEDFORD,11,1071.0,1.458,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,EXCEL (M52),8,903.0,1.926,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,FALCON,18,1953.0,1.48,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,ROBUST,53,7503.0,1.763,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,BARLEY,STANDER,53,7318.0,1.859,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,CANARYSEED,ELIAS,15,1907.0,0.632,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,CANARYSEED,KEET,4,605.0,0.597,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,EXTRA STRONG WHEAT,GLENLEA,14,1653.0,1.27,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,EXTRA STRONG WHEAT,WILDCAT,6,871.0,1.407,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,FIELD PEAS,CARNEVAL (SVE36121),9,1433.0,1.596,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,FLAX,NORLIN,22,1564.0,0.55,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,GRASSES,COMMON (TIM & BROMGRS)(DELETED),9,558.0,1.183,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,GRASSES,COMMON (TIMOTHY)(DELETED),4,637.0,1.025,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,MIXED GRAIN,"NO VAR-WHT,OAT,BLY,PEA,TRIT ONLY",4,703.0,1.649,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,OATS,ROBERT,22,1503.0,1.167,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,PED. ALFALFA SEED,ALGONQUIN,7,789.0,0.106,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,PED. TIMOTHY SEED,HOKUO,5,810.0,0.116,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,POLISH CANOLA,HYSYN 110,12,646.0,0.536,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,POLISH CANOLA,MAVERICK (SVO3902),8,534.0,0.413,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,RED SPRING WHEAT,AC CORA (BW 152),6,831.0,1.478,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,RED SPRING WHEAT,AC DOMAIN (BW 148),30,4399.0,1.252,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,RED SPRING WHEAT,CDC TEAL (BW 616),46,9198.0,1.177,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,RED SPRING WHEAT,KATEPWA,21,3600.0,1.139,1,5,50.85,-97.05
1996,BIFROST-RIVERTON,RED SPRING WHEAT,ROBLIN,53,9555.0,1.207,1,5,50.85,-97.05
1996,BOISSEVAIN-MORTON,ALFALFA,ALGONQUIN,12,1111.0,2.08,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ALFALFA,COMMON (DELETED),14,2100.0,2.173,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),15,1018.0,1.914,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,AC EXCEL(ACS-N1),18,2377.0,0.664,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,CORONET (SWO2502),12,1752.0,0.773,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,21,3513.5,0.825,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,GARRISON (AO 337),10,1193.0,0.634,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),6,791.0,0.737,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,PEARL,3,546.0,0.713,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,QUANTUM (91-21864 NA),33,4442.0,0.765,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,3310 (PR3095),6,744.0,0.816,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,45A71 (NS1471)(ST),8,1045.0,0.7,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,ARGENTINE CANOLA,46A05 (NS0705),21,2685.0,0.69,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,AC OXBOW (TR226),13,1347.0,1.311,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,BEDFORD,17,1634.0,1.326,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,EXCEL (M52),35,5788.0,1.51,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,MANLEY (TR 490),8,787.0,0.971,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,ROBUST,16,2123.0,1.517,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,BARLEY,STANDER,5,605.0,1.652,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,DURUM WHEAT,MEDORA,4,597.0,0.843,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,DURUM WHEAT,PLENTY (DT 606),16,4443.0,1.168,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,DURUM WHEAT,SCEPTRE,23,4268.0,1.076,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,EXTRA STRONG WHEAT,GLENLEA,10,1165.0,1.065,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FIELD PEAS,BOHATYR,4,747.0,0.847,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FIELD PEAS,CARNEVAL (SVE36121),5,545.0,1.062,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FIELD PEAS,GRANDE (SVC40143),9,1566.0,1.033,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FIELD PEAS,PROFI,4,608.0,1.235,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FLAX,FLANDERS (FP 859),16,2008.0,0.751,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FLAX,NORLIN,7,594.0,0.714,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,FLAX,947 (LINOLA 947),6,727.0,0.76,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,LENTILS,ESTON,19,2709.0,0.766,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,OATS,ROBERT,27,1628.0,1.02,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,PRAIRIE SPRING WHEAT,AC KARMA (HY 395),5,507.5,1.295,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,PRAIRIE SPRING WHEAT,AC TABER (HY380),6,1587.0,1.479,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,AC CORA (BW 152),5,643.0,1.104,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,AC DOMAIN (BW 148),54,12007.0,1.084,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,CDC TEAL (BW 616),48,12809.0,1.036,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,COLUMBUS,6,1012.0,0.776,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,KATEPWA,21,6488.0,1.037,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,PASQUA (BW 114),61,17290.0,0.904,1,6,49.2312,-100.0543
1996,BOISSEVAIN-MORTON,RED SPRING WHEAT,ROBLIN,11,2716.0,1.061,1,6,49.2312,-100.0543
1996,BRENDA-WASKADA,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,4,812.0,0.555,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,ARGENTINE CANOLA,GARRISON (AO 337),9,1102.0,0.599,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),18,4166.0,0.55,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,ARGENTINE CANOLA,QUANTUM (91-21864 NA),35,5405.0,0.556,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,ARGENTINE CANOLA,VANGUARD (SVO 2404),6,1196.0,0.407,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,ARGENTINE CANOLA,45A71 (NS1471)(ST),7,1559.0,0.589,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,BARLEY,BEDFORD,20,2310.0,1.003,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,BARLEY,CONDOR,3,1340.0,0.847,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,BARLEY,EXCEL (M52),36,6481.0,1.206,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,BARLEY,ROBUST,14,2357.0,1.052,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,BARLEY,STANDER,5,526.0,1.176,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,DURUM WHEAT,KYLE,14,6672.0,0.818,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,DURUM WHEAT,MEDORA,12,4088.0,0.824,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,DURUM WHEAT,PLENTY (DT 606),24,6552.0,0.939,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,DURUM WHEAT,SCEPTRE,6,1084.0,0.877,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,EXTRA STRONG WHEAT,GLENLEA,7,2389.0,0.624,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,FALL RYE,PRIMA,9,1190.0,0.806,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,FIELD PEAS,HIGHLIGHT (SVE11116),4,579.0,0.804,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,FLAX,SOMME (FP 855),4,1174.0,0.475,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,FLAX,947 (LINOLA 947),8,1250.0,0.562,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,LENTILS,ESTON,10,2395.0,0.688,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,MUSTARD,COMMON (YELLOW)(DELETED),5,663.0,0.369,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,OATS,DUMONT,26,2866.0,0.99,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,OATS,ROBERT,12,2568.0,1.013,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,PRAIRIE SPRING WHEAT,AC TABER (HY380),10,2660.0,0.93,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,AC CORA (BW 152),4,791.0,0.949,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,AC DOMAIN (BW 148),13,4573.0,0.977,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,CDC TEAL (BW 616),80,28469.5,0.884,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,COLUMBUS,57,20353.0,0.781,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,KATEPWA,5,3359.0,0.76,1,7,49.1,-100.7833
1996,BRENDA-WASKADA,RED SPRING WHEAT,PASQUA (BW 114),13,2611.0,0.681,1,7,49.1,-100.7833
1996,BROKENHEAD,ALFALFA,COMMON (DELETED),8,609.0,1.976,1,8,,
1996,BROKENHEAD,ARGENTINE CANOLA,GARRISON (AO 337),5,500.0,0.726,1,8,,
1996,BROKENHEAD,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),4,957.0,0.738,1,8,,
1996,BROKENHEAD,ARGENTINE CANOLA,QUANTUM (91-21864 NA),10,1162.0,0.755,1,8,,
1996,BROKENHEAD,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",24,4483.0,0.849,1,8,,
1996,BROKENHEAD,ARGENTINE CANOLA,45A71 (NS1471)(ST),8,963.0,0.769,1,8,,
1996,BROKENHEAD,BARLEY,BEDFORD,13,1298.0,1.328,1,8,,
1996,BROKENHEAD,BARLEY,EXCEL (M52),8,945.0,1.528,1,8,,
1996,BROKENHEAD,BARLEY,FALCON,6,517.0,1.086,1,8,,
1996,BROKENHEAD,BARLEY,ROBUST,34,3418.0,1.272,1,8,,
1996,BROKENHEAD,BARLEY,STANDER,19,1917.0,1.37,1,8,,
1996,BROKENHEAD,CANARYSEED,ELIAS,4,1093.0,0.293,1,8,,
1996,BROKENHEAD,CANARYSEED,KEET,8,868.0,0.513,1,8,,
1996,BROKENHEAD,EXTRA STRONG WHEAT,GLENLEA,17,2495.0,1.011,1,8,,
1996,BROKENHEAD,FLAX,NORLIN,32,2968.0,0.503,1,8,,
1996,BROKENHEAD,GRAIN CORN,PIONEER 3984 (X0752A),3,855.0,1.575,1,8,,
1996,BROKENHEAD,NON-OIL SUNFLOWERS,PIONEER D-131,5,628.0,0.888,1,8,,
1996,BROKENHEAD,OATS,DUMONT,12,997.0,0.904,1,8,,
1996,BROKENHEAD,OATS,RIEL,15,1335.0,1.024,1,8,,
1996,BROKENHEAD,OATS,ROBERT,50,5338.0,1.048,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,AC CORA (BW 152),14,1058.0,0.915,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,AC DOMAIN (BW 148),72,12282.0,1.148,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,CDC TEAL (BW 616),18,3938.0,1.112,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,INVADER(BW 158),5,844.0,1.257,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,KATEPWA,30,4489.0,1.009,1,8,,
1996,BROKENHEAD,RED SPRING WHEAT,ROBLIN,41,8518.0,1.0,1,8,,
1996,CARTIER,ARGENTINE CANOLA,CRUSHER (SV0 2406),5,1435.0,0.864,1,9,,
1996,CARTIER,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,5,1289.0,0.908,1,9,,
1996,CARTIER,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),5,522.0,0.932,1,9,,
1996,CARTIER,ARGENTINE CANOLA,JEWEL (PR 2613),4,770.0,0.884,1,9,,
1996,CARTIER,ARGENTINE CANOLA,QUANTUM (91-21864 NA),17,2636.0,0.886,1,9,,
1996,CARTIER,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",32,7682.0,0.859,1,9,,
1996,CARTIER,BARLEY,AC OXBOW (TR226),7,877.0,1.752,1,9,,
1996,CARTIER,BARLEY,BEDFORD,6,3892.0,1.819,1,9,,
1996,CARTIER,BARLEY,CDC EARL,3,985.0,2.027,1,9,,
1996,CARTIER,BARLEY,CONDOR,3,1615.0,1.247,1,9,,
1996,CARTIER,BARLEY,EXCEL (M52),8,922.0,1.918,1,9,,
1996,CARTIER,BARLEY,FALCON,3,1813.0,1.668,1,9,,
1996,CARTIER,BARLEY,ROBUST,7,1530.0,1.719,1,9,,
1996,CARTIER,BARLEY,STANDER,11,2488.0,2.038,1,9,,
1996,CARTIER,CANARYSEED,ELIAS,28,6221.0,0.642,1,9,,
1996,CARTIER,CANARYSEED,KEET,3,776.0,0.484,1,9,,
1996,CARTIER,EXTRA STRONG WHEAT,GLENLEA,10,1812.0,1.303,1,9,,
1996,CARTIER,FLAX,NORLIN,19,2722.0,0.684,1,9,,
1996,CARTIER,FLAX,NORMAN,7,775.0,0.519,1,9,,
1996,CARTIER,OATS,RIEL,52,12309.0,1.584,1,9,,
1996,CARTIER,OATS,ROBERT,18,3094.0,1.443,1,9,,
1996,CARTIER,PRAIRIE SPRING WHEAT,OSLO,3,1535.0,1.592,1,9,,
1996,CARTIER,RED SPRING WHEAT,AC DOMAIN (BW 148),76,21062.0,1.3,1,9,,
1996,CARTIER,RED SPRING WHEAT,CDC TEAL (BW 616),3,995.0,1.296,1,9,,
1996,CARTIER,RED SPRING WHEAT,KATEPWA,30,9132.0,1.19,1,9,,
1996,CARTIER,RED SPRING WHEAT,ROBLIN,9,1814.0,1.183,1,9,,
1996,CARTWRIGHT-ROBLIN,ALFALFA,COMMON (DELETED),9,700.0,2.129,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),13,839.0,1.762,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,AC EXCEL(ACS-N1),9,878.0,0.552,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,EBONY <MONSANTO> |PR 2610|,15,1812.0,0.681,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,GARRISON (AO 337),5,560.0,0.55,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,LEGACY (SVO 2411),8,826.0,0.622,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,QUANTUM (91-21864 NA),36,4494.0,0.644,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,TROJAN (SVO 2413),3,580.0,0.538,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,"401 (AV9401,HYOLA 404)",15,2242.0,0.618,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,ARGENTINE CANOLA,45A71 (NS1471)(ST),5,543.0,0.639,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,AC LACOMBE (BT 634),16,2736.0,1.462,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,BEDFORD,63,8117.0,1.267,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,CDC BUCK,5,500.0,1.431,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,DEUCE,4,506.0,1.017,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,EXCEL (M52),14,1450.0,1.535,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,ROBUST,8,1298.0,1.264,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,BARLEY,STANDER,6,755.0,1.515,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,EXTRA STRONG WHEAT,GLENLEA,10,1219.0,0.862,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,FLAX,AC LINORA (FP 862),6,680.0,0.561,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,FLAX,FLANDERS (FP 859),26,2967.0,0.511,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,FLAX,NORLIN,16,1928.0,0.502,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,FLAX,NORMAN,5,603.0,0.364,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,FLAX,947 (LINOLA 947),8,816.0,0.527,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,OATS,DUMONT,22,1907.0,0.915,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,OATS,RIEL,26,2161.0,1.152,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,OATS,ROBERT,16,1388.0,0.94,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,AC CORA (BW 152),17,2637.0,0.964,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,AC DOMAIN (BW 148),81,19665.0,0.851,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,CDC TEAL (BW 616),45,8765.0,0.88,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,COLUMBUS,7,1264.0,0.812,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,KATEPWA,22,3554.0,0.868,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,PASQUA (BW 114),22,4310.0,0.806,1,10,49.0333,-99.3167
1996,CARTWRIGHT-ROBLIN,RED SPRING WHEAT,ROBLIN,4,824.0,0.875,1,10,49.0333,-99.3167
1996,CLANWILLIAM-ERICKSON,ALFALFA,ALGONQUIN,6,741.0,1.82,1,11,50.4833,-99.9167
1996,CLANWILLIAM-ERICKSON,BARLEY,AC OXBOW (TR226),4,551.0,1.169,1,11,50.4833,-99.9167
1996,CLANWILLIAM-ERICKSON,BARLEY,BEDFORD,7,662.0,0.834,1,11,50.4833,-99.9167
1996,CLANWILLIAM-ERICKSON,BARLEY,MANLEY (TR 490),9,1740.0,0.882,1,11,50.4833,-99.9167
