Municipality,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp,HDD,CDD,Total Rain (mm),Total Snow,Ptol
ALEXANDER,4/13/96,1996,4,13,3,-7,-2,20,0,0,0,0
ALEXANDER,4/14/96,1996,4,14,7,-1,3,15,0,0.4,0,0.4
ALEXANDER,4/15/96,1996,4,15,6,-0.5,2.75,15.2,0,0,0,0
ALEXANDER,4/16/96,1996,4,16,11,-3,4,14,0,0,0,0
ALEXANDER,4/17/96,1996,4,17,12.5,2,7.25,10.7,0,0,0,0
ALEXANDER,4/18/96,1996,4,18,6,1,3.5,14.5,0,0,1,1
ALEXANDER,4/19/96,1996,4,19,0,-3,-1.5,19.5,0,0,1,1
ALEXANDER,4/20/96,1996,4,20,1.5,-3.5,-1,19,0,0,1,1
ALEXANDER,4/21/96,1996,4,21,2,-3,-0.5,18.5,0,0,1,1
ALEXANDER,4/22/96,1996,4,22,11,-5,3,15,0,2.2,0,2.2
ALEXANDER,4/23/96,1996,4,23,8,1,4.5,13.5,0,0.6,0,0.6
ALEXANDER,4/24/96,1996,4,24,8,0.5,4.25,13.7,0,13.6,0,13.6
ALEXANDER,4/25/96,1996,4,25,2,-2,0,18,0,0.4,4,4.4
ALEXANDER,4/26/96,1996,4,26,3.5,-6,-1.25,19.3,0,0,0,0
ALEXANDER,4/27/96,1996,4,27,7.5,-4,1.75,16.2,0,0,0,0
ALEXANDER,4/28/96,1996,4,28,13,-5,4,14,0,0,0,0
ALEXANDER,4/29/96,1996,4,29,15,-3,6,12,0,0,0,0
ALEXANDER,4/30/96,1996,4,30,14.5,1,7.75,10.2,0,0,0,0
ALEXANDER,5/1/96,1996,5,1,12.5,-3,4.75,13.2,0,0,0,0
ALEXANDER,5/2/96,1996,5,2,10.5,-3.5,3.5,14.5,0,0,0,0
ALEXANDER,5/3/96,1996,5,3,13,-5,4,14,0,0,0,0
ALEXANDER,5/4/96,1996,5,4,14,-3,5.5,12.5,0,0,0,0
ALEXANDER,5/5/96,1996,5,5,16,-1,7.5,10.5,0,0,0,0
ALEXANDER,5/6/96,1996,5,6,13,1,7,11,0,0.6,0,0.6
ALEXANDER,5/7/96,1996,5,7,15,1,8,10,0,1.2,0,1.2
ALEXANDER,5/8/96,1996,5,8,11,0,5.5,12.5,0,1.4,0,1.4
ALEXANDER,5/9/96,1996,5,9,4,-2,1,17,0,0,0,0
ALEXANDER,5/10/96,1996,5,10,9,-5,2,16,0,0,0,0
ALEXANDER,5/11/96,1996,5,11,12,-5,3.5,14.5,0,0,0,0
ALEXANDER,5/12/96,1996,5,12,13.5,-2,5.75,12.2,0,0.6,0,0.6
ALEXANDER,5/13/96,1996,5,13,17,-3,7,11,0,0.8,0,0.8
ALEXANDER,5/14/96,1996,5,14,17,8,12.5,5.5,0,3.2,0,3.2
ALEXANDER,5/15/96,1996,5,15,15.5,7,11.25,6.7,0,2.4,0,2.4
ALEXANDER,5/16/96,1996,5,16,22,5,13.5,4.5,0,11.6,0,11.6
ALEXANDER,5/17/96,1996,5,17,14,10,12,6,0,2,0,2
ALEXANDER,5/18/96,1996,5,18,19.5,10,14.75,3.2,0,12,0,12
ALEXANDER,5/19/96,1996,5,19,13,8,10.5,7.5,0,2,0,2
ALEXANDER,5/20/96,1996,5,20,16,4,10,8,0,1,0,1
ALEXANDER,5/21/96,1996,5,21,12.5,3,7.75,10.2,0,1.6,0,1.6
ALEXANDER,5/22/96,1996,5,22,11,1,6,12,0,0,0,0
ALEXANDER,5/23/96,1996,5,23,15,3,9,9,0,0,0,0
ALEXANDER,5/24/96,1996,5,24,15,0.5,7.75,10.2,0,0,0,0
ALEXANDER,5/25/96,1996,5,25,16.5,3,9.75,8.2,0,0,0,0
ALEXANDER,5/26/96,1996,5,26,21,2.5,11.75,6.2,0,0,0,0
ALEXANDER,5/27/96,1996,5,27,22.5,4,13.25,4.7,0,0,0,0
ALEXANDER,5/28/96,1996,5,28,24,6,15,3,0,0,0,0
ALEXANDER,5/29/96,1996,5,29,25,9,17,1,0,7.6,0,7.6
ALEXANDER,5/30/96,1996,5,30,20.5,11,15.75,2.2,0,0.6,0,0.6
ALEXANDER,5/31/96,1996,5,31,14,10.5,12.25,5.7,0,0,0,0
ALEXANDER,6/1/96,1996,6,1,24,7,15.5,2.5,0,3.4,0,3.4
ALEXANDER,6/2/96,1996,6,2,10.5,7,8.75,9.2,0,0,0,0
ALEXANDER,6/3/96,1996,6,3,21.5,6,13.75,4.2,0,0,0,0
ALEXANDER,6/4/96,1996,6,4,20,6.5,13.25,4.7,0,6.4,0,6.4
ALEXANDER,6/5/96,1996,6,5,16,10.5,13.25,4.7,0,12.2,0,12.2
ALEXANDER,6/6/96,1996,6,6,22,9,15.5,2.5,0,0,0,0
ALEXANDER,6/7/96,1996,6,7,25,8,16.5,1.5,0,0,0,0
ALEXANDER,6/8/96,1996,6,8,30,14,22,0,4,0,0,0
ALEXANDER,6/9/96,1996,6,9,33,16.5,24.75,0,6.8,20,0,20
ALEXANDER,6/10/96,1996,6,10,28.5,17,22.75,0,4.8,0.2,0,0.2
ALEXANDER,6/11/96,1996,6,11,29,12,20.5,0,2.5,0,0,0
ALEXANDER,6/12/96,1996,6,12,24.5,14,19.25,0,1.3,0,0,0
ALEXANDER,6/13/96,1996,6,13,28,8,18,0,0,0,0,0
ALEXANDER,6/14/96,1996,6,14,29,10,19.5,0,1.5,6.8,0,6.8
ALEXANDER,6/15/96,1996,6,15,24,13,18.5,0,0.5,0,0,0
ALEXANDER,6/16/96,1996,6,16,24,10.5,17.25,0.7,0,0,0,0
ALEXANDER,6/17/96,1996,6,17,27,11,19,0,1,0,0,0
ALEXANDER,6/18/96,1996,6,18,28,14,21,0,3,1.8,0,1.8
ALEXANDER,6/19/96,1996,6,19,17,10,13.5,4.5,0,11.6,0,11.6
ALEXANDER,6/20/96,1996,6,20,23,11,17,1,0,0,0,0
ALEXANDER,6/21/96,1996,6,21,16.5,7,11.75,6.2,0,0,0,0
ALEXANDER,6/22/96,1996,6,22,13.5,7.5,10.5,7.5,0,5.8,0,5.8
ALEXANDER,6/23/96,1996,6,23,12,7,9.5,8.5,0,0.6,0,0.6
ALEXANDER,6/24/96,1996,6,24,19,8,13.5,4.5,0,2.4,0,2.4
ALEXANDER,6/25/96,1996,6,25,17.5,9,13.25,4.7,0,0,0,0
ALEXANDER,6/26/96,1996,6,26,25,14,19.5,0,1.5,0,0,0
ALEXANDER,6/27/96,1996,6,27,32.5,19,25.75,0,7.8,0,0,0
ALEXANDER,6/28/96,1996,6,28,27,20,23.5,0,5.5,6.2,0,6.2
ALEXANDER,6/29/96,1996,6,29,27,17,22,0,4,0,0,0
ALEXANDER,6/30/96,1996,6,30,26,10.5,18.25,0,0.3,0.2,0,0.2
ALEXANDER,7/1/96,1996,7,1,27,14,20.5,0,2.5,0,0,0
ALEXANDER,7/2/96,1996,7,2,27.5,10.5,19,0,1,0,0,0
ALEXANDER,7/3/96,1996,7,3,28,16,22,0,4,0,0,0
ALEXANDER,7/4/96,1996,7,4,29,17,23,0,5,0,0,0
ALEXANDER,7/5/96,1996,7,5,26,19,22.5,0,4.5,0,0,0
ALEXANDER,7/6/96,1996,7,6,25,13.5,19.25,0,1.3,0,0,0
ALEXANDER,7/7/96,1996,7,7,20.5,10.5,15.5,2.5,0,6.8,0,6.8
ALEXANDER,7/8/96,1996,7,8,21,10,15.5,2.5,0,0,0,0
ALEXANDER,7/9/96,1996,7,9,24.5,4,14.25,3.7,0,0,0,0
ALEXANDER,7/10/96,1996,7,10,25,8.5,16.75,1.2,0,41,0,41
ALEXANDER,7/11/96,1996,7,11,19,9,14,4,0,1.4,0,1.4
ALEXANDER,7/12/96,1996,7,12,25,11,18,0,0,0,0,0
ALEXANDER,7/13/96,1996,7,13,27,9.5,18.25,0,0.3,0,0,0
ALEXANDER,7/14/96,1996,7,14,25,11,18,0,0,0.6,0,0.6
ALEXANDER,7/15/96,1996,7,15,26.5,10,18.25,0,0.3,0,0,0
ALEXANDER,7/16/96,1996,7,16,29,13,21,0,3,0,0,0
ALEXANDER,7/17/96,1996,7,17,30,17,23.5,0,5.5,0,0,0
ALEXANDER,7/18/96,1996,7,18,26,18,22,0,4,0,0,0
ALEXANDER,7/19/96,1996,7,19,26.5,17,21.75,0,3.8,34,0,34
ALEXANDER,7/20/96,1996,7,20,25,13,19,0,1,0,0,0
ALEXANDER,7/21/96,1996,7,21,24,11.5,17.75,0.2,0,0.4,0,0.4
ALEXANDER,7/22/96,1996,7,22,23,9,16,2,0,0,0,0
ALEXANDER,7/23/96,1996,7,23,20.5,13.5,17,1,0,1.8,0,1.8
ALEXANDER,7/24/96,1996,7,24,22,12,17,1,0,0,0,0
ALEXANDER,7/25/96,1996,7,25,24,9,16.5,1.5,0,10.4,0,10.4
ALEXANDER,7/26/96,1996,7,26,20,14,17,1,0,0.2,0,0.2
ALEXANDER,7/27/96,1996,7,27,21,13,17,1,0,0,0,0
ALEXANDER,7/28/96,1996,7,28,22,11,16.5,1.5,0,14.2,0,14.2
ALEXANDER,7/29/96,1996,7,29,22.5,12,17.25,0.7,0,0,0,0
ALEXANDER,7/30/96,1996,7,30,25,12,18.5,0,0.5,0,0,0
ALEXANDER,7/31/96,1996,7,31,26,10,18,0,0,0,0,0
ALEXANDER,8/1/96,1996,8,1,28,16,22,0,4,0,0,0
ALEXANDER,8/2/96,1996,8,2,29,16,22.5,0,4,0,0,0
ALEXANDER,8/3/96,1996,8,3,28,16,22,0,4,0,0,0
ALEXANDER,8/4/96,1996,8,4,24,16,20,0,4,4.4,0,4.4
ALEXANDER,8/5/96,1996,8,5,29,12.5,20.75,0,2.8,0,0,0
ALEXANDER,8/6/96,1996,8,6,22.5,9,15.75,2.2,0,0,0,0
ALEXANDER,8/7/96,1996,8,7,21.5,10,15.75,2.2,0,2,0,2
ALEXANDER,8/8/96,1996,8,8,20,7,13.5,4.5,0,0,0,0
ALEXANDER,8/9/96,1996,8,9,24,6.5,15.25,2.7,0,0,0,0
ALEXANDER,8/10/96,1996,8,10,30,11,20.5,0,2.5,0,0,0
ALEXANDER,8/11/96,1996,8,11,26,14,20,0,2,0,0,0
ALEXANDER,8/12/96,1996,8,12,26,10,18,0,0,0,0,0
ALEXANDER,8/13/96,1996,8,13,22,11,16.5,1.5,0,0,0,0
ALEXANDER,8/14/96,1996,8,14,25.5,8,16.75,1.2,0,0,0,0
ALEXANDER,8/15/96,1996,8,15,27,7.5,17.25,0.7,0,0,0,0
ALEXANDER,8/16/96,1996,8,16,31,14,22.5,0,4.5,0,0,0
ALEXANDER,8/17/96,1996,8,17,34,14,24,0,6,0,0,0
ALEXANDER,8/18/96,1996,8,18,27,16.5,21.75,0,3.8,4.4,0,4.4
ALEXANDER,8/19/96,1996,8,19,23,12,17.5,0.5,0,0,0,0
ALEXANDER,8/20/96,1996,8,20,29,6.5,17.75,0.2,0,0,0,0
ALEXANDER,8/21/96,1996,8,21,21.5,13,17.25,0.7,0,0,0,0
ALEXANDER,8/22/96,1996,8,22,27.5,6,16.75,1.2,0,0,0,0
ALEXANDER,8/23/96,1996,8,23,28.5,11,19.75,0,1.8,0,0,0
ALEXANDER,8/24/96,1996,8,24,30,9,19.5,0,1.5,0,0,0
ALEXANDER,8/25/96,1996,8,25,25,5,15,3,0,0,0,0
ALEXANDER,8/26/96,1996,8,26,27.5,8,17.75,0.2,0,0,0,0
ALEXANDER,8/27/96,1996,8,27,30,9,19.5,0,1.5,0,0,0
ALEXANDER,8/28/96,1996,8,28,29.5,12,20.75,0,2.8,0,0,0
ALEXANDER,8/29/96,1996,8,29,31,9,20,0,2,0,0,0
ALEXANDER,8/30/96,1996,8,30,34,13,23.5,0,5.5,0,0,0
ALEXANDER,8/31/96,1996,8,31,32.5,13,22.75,0,4.8,0,0,0
ALEXANDER,9/1/96,1996,9,1,25,13,19,0,1,1.2,0,1.2
ALEXANDER,9/2/96,1996,9,2,27,7,17,1,0,0,0,0
ALEXANDER,9/3/96,1996,9,3,25,6.5,15.75,2.2,0,0,0,0
ALEXANDER,9/4/96,1996,9,4,20,2,11,7,0,19.2,0,19.2
ALEXANDER,9/5/96,1996,9,5,17.5,12,14.75,3.2,0,1,0,1
ALEXANDER,9/6/96,1996,9,6,20.5,9,14.75,3.2,0,0,0,0
ALEXANDER,9/7/96,1996,9,7,26,4,15,3,0,0,0,0
ALEXANDER,9/8/96,1996,9,8,25.5,9.5,17.5,0.5,0,0,0,0
ALEXANDER,9/9/96,1996,9,9,26.5,8.5,17.5,0.5,0,0.2,0,0.2
ALEXANDER,9/10/96,1996,9,10,16.5,7,11.75,6.2,0,0,0,0
ALEXANDER,9/11/96,1996,9,11,17,5,11,7,0,0,0,0
ALEXANDER,9/12/96,1996,9,12,15.5,10,12.75,5.2,0,0,0,0
ALEXANDER,9/13/96,1996,9,13,21,6.5,13.75,4.2,0,0,0,0
ALEXANDER,9/14/96,1996,9,14,21,5,13,5,0,0,0,0
ALEXANDER,9/15/96,1996,9,15,22,2.5,12.25,5.7,0,0,0,0
ALEXANDER,9/16/96,1996,9,16,19.5,4.5,12,6,0,0,0,0
ALEXANDER,9/17/96,1996,9,17,19,9.5,14.25,3.7,0,0,0,0
ALEXANDER,9/18/96,1996,9,18,22,7.5,14.75,3.2,0,0.8,0,0.8
ALEXANDER,9/19/96,1996,9,19,14.5,12,13.25,4.7,0,0.8,0,0.8
ALEXANDER,9/20/96,1996,9,20,17,8.5,12.75,5.2,0,9,0,9
ALEXANDER,9/21/96,1996,9,21,14,11,12.5,5.5,0,0.8,0,0.8
ALEXANDER,9/22/96,1996,9,22,17,5,11,7,0,4.4,0,4.4
ALEXANDER,9/23/96,1996,9,23,16.5,4,10.25,7.7,0,1.8,0,1.8
ALEXANDER,9/24/96,1996,9,24,15.5,1.5,8.5,9.5,0,0,0,0
ALEXANDER,9/25/96,1996,9,25,15,2,8.5,9.5,0,0.2,0,0.2
ALEXANDER,9/26/96,1996,9,26,14,6,10,8,0,0,0,0
ALEXANDER,9/27/96,1996,9,27,15,5,10,8,0,0,0,0
ALEXANDER,9/28/96,1996,9,28,11,2,6.5,11.5,0,0,0,0
ALEXANDER,9/29/96,1996,9,29,10,-6,2,16,0,0.2,0,0.2
ALEXANDER,9/30/96,1996,9,30,8,3,5.5,12.5,0,2.4,0,2.4
ALEXANDER,10/1/96,1996,10,1,3,0,1.5,16.5,0,1.8,6,7.8
ALEXANDER,10/2/96,1996,10,2,8,-5.5,1.25,16.7,0,0,0,0
ALEXANDER,10/3/96,1996,10,3,13,-5,4,14,0,0,0,0
ALEXANDER,10/4/96,1996,10,4,22,1,11.5,6.5,0,0,0,0
ALEXANDER,10/5/96,1996,10,5,24,9,16.5,1.5,0,0,0,0
ALEXANDER,10/6/96,1996,10,6,9.5,-1,4.25,13.7,0,0,0,0
ALEXANDER,10/7/96,1996,10,7,15,-4,5.5,12.5,0,0,0,0
ALEXANDER,10/8/96,1996,10,8,18,5,11.5,6.5,0,1.8,0,1.8
ALEXANDER,10/9/96,1996,10,9,13,1,7,11,0,0,0,0
ALEXANDER,10/10/96,1996,10,10,18,1,9.5,8.5,0,0,0,0
ALEXANDER,10/11/96,1996,10,11,21.5,5,13.25,4.7,0,0,0,0
ALEXANDER,10/12/96,1996,10,12,19,2,10.5,7.5,0,0,0,0
ALEXANDER,10/13/96,1996,10,13,16,-3,6.5,11.5,0,0,0,0
ALEXANDER,10/14/96,1996,10,14,18,4.5,11.25,6.7,0,0,0,0
ALEXANDER,10/15/96,1996,10,15,19,1.5,10.25,7.7,0,0,0,0
ALEXANDER,10/16/96,1996,10,16,13.5,-4,4.75,13.2,0,0,0,0
ALEXANDER,10/17/96,1996,10,17,9,-3,3,15,0,0,0,0
ALEXANDER,10/18/96,1996,10,18,9,-6,1.5,16.5,0,0,0,0
ALEXANDER,10/19/96,1996,10,19,15.5,0,7.75,10.2,0,14.2,0,14.2
ALEXANDER,10/20/96,1996,10,20,3,0,1.5,16.5,0,5.2,8,13.2
ALEXANDER,10/21/96,1996,10,21,1,0,0.5,17.5,0,0,6,6
ALEXANDER,10/22/96,1996,10,22,2,-5,-1.5,19.5,0,0,0,0
ALEXANDER,10/23/96,1996,10,23,3.5,-7.5,-2,20,0,0,0,0
ALEXANDER,10/24/96,1996,10,24,6,-6,0,18,0,2.4,0,2.4
ALEXANDER,10/25/96,1996,10,25,10.5,-1,4.75,13.2,0,0,0,0
ALEXANDER,10/26/96,1996,10,26,5,-2,1.5,16.5,0,0,0,0
ALEXANDER,10/27/96,1996,10,27,6,-2,2,16,0,0,0,0
ALEXANDER,10/28/96,1996,10,28,10,-3,3.5,14.5,0,0,0,0
ALEXANDER,10/29/96,1996,10,29,7,-11,-2,20,0,0,0,0
ALEXANDER,10/30/96,1996,10,30,-7,-12.5,-9.75,27.8,0,0,1,1
ALEXANDER,10/31/96,1996,10,31,-3,-11.5,-7.25,25.3,0,0,0,0
ALEXANDER,11/1/96,1996,11,1,-1,-12.5,-6.75,24.8,0,0,0,0
ALEXANDER,11/2/96,1996,11,2,12,-13,-0.5,18.5,0,0,0,0
ALEXANDER,11/3/96,1996,11,3,12,-2,5,13,0,0,0,0
ALEXANDER,11/4/96,1996,11,4,3,-5,-1,19,0,0,0,0
ALEXANDER,11/5/96,1996,11,5,1,-5,-2,20,0,0,0,0
ALEXANDER,11/6/96,1996,11,6,4.5,-5.5,-0.5,18.5,0,0,0,0
ALEXANDER,11/7/96,1996,11,7,5,-5,0,18,0,0,0,0
ALEXANDER,11/8/96,1996,11,8,4,-7,-1.5,19.5,0,0,0,0
ALEXANDER,11/9/96,1996,11,9,-3,-13,-8,26,0,0,0,0
ALEXANDER,11/10/96,1996,11,10,-6,-16,-11,29,0,0,0,0
ALEXANDER,11/11/96,1996,11,11,-5.5,-18,-11.75,29.8,0,0,0,0
ALEXANDER,11/12/96,1996,11,12,-4,-16,-10,28,0,0,0,0
ALEXANDER,11/13/96,1996,11,13,-5,-17,-11,29,0,0,0,0
ALEXANDER,11/14/96,1996,11,14,-3,-17.5,-10.25,28.3,0,0,5,5
ALEXANDER,11/15/96,1996,11,15,-0.5,-12,-6.25,24.3,0,0,0,0
ALEXANDER,11/16/96,1996,11,16,-10,-18,-14,32,0,0,0,0
ALEXANDER,11/17/96,1996,11,17,-10,-17,-13.5,31.5,0,0,0,0
ALEXANDER,11/18/96,1996,11,18,-9.5,-21.5,-15.5,33.5,0,0,0,0
ALEXANDER,11/19/96,1996,11,19,-15,-21,-18,36,0,0,13,13
ALEXANDER,11/20/96,1996,11,20,-12,-19.5,-15.75,33.8,0,0,0,0
ALEXANDER,11/21/96,1996,11,21,-17,-27,-22,40,0,0,0,0
ALEXANDER,11/22/96,1996,11,22,-16,-27.5,-21.75,39.8,0,0,0,0
